apple_id,PLANTID,usda_ploidy,het,ploidy
1,Jonafree,NA,0.3372502937720329,2x
4,Florina,NA,0.3308062620825594,2x
5,Liberty,2x,0.3559474621886964,2x
6,Judaine,NA,0.345333762935446,2x
7,Novaspy,NA,0.3989992797846935,2x
8,Dayton,NA,0.3315454304234108,2x
10,Vanda,NA,0.3696789355975892,2x
11,Rouville,NA,0.47331412759182745,3x
12,Moira,NA,0.3770800955232933,2x
13,INR 6407,NA,0.3294890261930935,2x
14,CBR 4T 29,NA,0.38181835411849435,2x
15,Co-op 29,NA,0.32088434858420833,2x
16,Topaz,NA,0.3462150790341534,2x
18,Generos,NA,0.3479777112315682,2x
19,Crimson Crisp,NA,0.3420075054016148,2x
20,Romus 3,NA,0.3519483719343467,2x
22,Voinea,NA,0.34399757401159925,2x
23,Rebella,NA,0.3815719646715439,2x
24,Britegold,NA,0.3476839391986657,2x
26,Priam,NA,0.35267806375800764,2x
27,Écolette,NA,0.358506121830105,2x
28,Macfree,NA,0.3621071983624578,2x
29,Ottawa 654,NA,0.34540957507296915,2x
30,Richelieu,NA,0.3336302642052993,2x
31,Fantazja,NA,0.34739016716576326,2x
32,Shizuka,NA,0.3401785375838672,2x
33,Supermac,NA,0.3318486789735037,2x
34,SJCXN982,NA,0.5416019104658656,3x
35,8B 14 56,NA,0.3354118494370949,2x
36,MN1839,NA,0.3816098707403055,2x
37,SJCA 14R3A108,NA,0.3455517228308252,2x
38,NY65707-19,NA,0.3729293809938971,2x
39,Keepsake,NA,0.3412020014404306,2x
40,Braeburn,NA,0.32519616390584133,2x
41,SJC 649,NA,0.35403320571623514,2x
43,Rubinette,NA,0.3832587847314355,2x
44,SJCA 16R5A15,NA,0.31173003297827984,2x
45,Melrose,2x,0.34265190857056216,2x
46,8C 18 30,NA,0.3511712975247337,2x
47,11W-19-18,NA,0.36738561843751183,2x
48,Red Delicious,NA,0.3614059360903681,2x
49,SPA 283,NA,0.3546681323679921,2x
50,8S-29-18,NA,0.32433380084151475,2x
51,Maigold,NA,0.3846897388271862,2x
52,Kensei,NA,0.3544975550585649,2x
53,SPA 505,NA,0.48348243053712897,3x
54,8S-26-52,NA,0.2990314999431409,2x
55,McShay,NA,0.3464140858951518,2x
56,Zestar,NA,0.3540711117849968,2x
57,McIntosh,NA,0.37557332929001935,2x
58,Ginger gold,NA,0.36900610287707064,2x
59,Priscilla,NA,0.35704673818278304,2x
60,Pinova,NA,0.3634244342519237,2x
61,Piflora,NA,0.3345779159243395,2x
62,Redfree,2x,0.3544880785413745,2x
63,Aroma,NA,0.34541905159015956,2x
64,Pia,NA,0.3658883287214283,2x
65,Holly,2x,0.3541279708881392,2x
66,Otava,NA,0.3797429968537963,2x
67,Elstar,NA,0.3393446040711118,2x
68,Rewina,NA,0.34862211440051555,2x
69,Regine,NA,0.34883059777870434,2x
70,Blackmac,NA,0.3687976194988818,2x
71,MN1797,NA,0.33513703043857324,2x
72,Arlet,NA,0.3510765323528297,2x
73,Trent,NA,0.326484970243736,2x
74,Sir Prize,3x,0.3792028353739434,2x
75,Resi,NA,0.35092490807778326,2x
76,Redstarkingvale,NA,0.373327394715894,2x
77,NY74828,NA,0.33740191804707936,2x
78,NY75413,NA,0.5344376634699215,3x
79,Novamac,NA,0.29319396535385317,2x
80,SJC 8428-2,NA,0.3497782494977446,2x
81,Freedom,NA,0.374151851711459,2x
82,Remura,NA,0.3585819339676282,2x
83,Reglindis,NA,0.35338880254728783,2x
84,Murray,NA,0.3484704901254691,2x
85,SJC 658,NA,0.35618437511845646,2x
86,SJC 686-1,NA,0.33438838558053147,2x
87,S47-20-005,NA,0.31010007202153067,2x
89,Galarina,NA,0.35552101891512833,2x
92,Cotton Candy,NA,0.3199082673135969,2x
94,S47-20-037,NA,0.3338766536522497,2x
95,SJC 8444-2,NA,0.3196808309010273,2x
96,Reinet Russet,NA,0.3953129145976271,2x
97,INR 6690,NA,0.28021113680300214,2x
98,INR 3318,NA,0.33955308744930063,2x
