 FID  IID       O(HOM)       E(HOM)        N(NM)            F
   1    1        69936     6.29e+04       105524       0.1651
   4    4        70616     6.29e+04       105524        0.181
   5    5        67963     6.29e+04       105524       0.1188
   6    6        69083     6.29e+04       105524       0.1451
   7    7        63420     6.29e+04       105524      0.01222
   8    8        70538     6.29e+04       105524       0.1792
  10   10        66514     6.29e+04       105524       0.0848
  11   11        55578     6.29e+04       105524      -0.1718
  12   12        65733     6.29e+04       105524      0.06648
  13   13        70755     6.29e+04       105524       0.1843
  14   14        65233     6.29e+04       105524      0.05475
  15   15        71663     6.29e+04       105524       0.2056
  16   16        68990     6.29e+04       105524       0.1429
  18   18        68804     6.29e+04       105524       0.1385
  19   19        69434     6.29e+04       105524       0.1533
  20   20        68385     6.29e+04       105524       0.1287
  22   22        69224     6.29e+04       105524       0.1484
  23   23        65259     6.29e+04       105524      0.05536
  24   24        68835     6.29e+04       105524       0.1393
  26   26        68308     6.29e+04       105524       0.1269
  27   27        67693     6.29e+04       105524       0.1125
  28   28        67313     6.29e+04       105524       0.1035
  29   29        69075     6.29e+04       105524       0.1449
  30   30        70318     6.29e+04       105524        0.174
  31   31        68866     6.29e+04       105524         0.14
  32   32        69627     6.29e+04       105524       0.1578
  33   33        70506     6.29e+04       105524       0.1785
  34   34        48372     6.29e+04       105524      -0.3408
  35   35        70130     6.29e+04       105524       0.1696
  36   36        65255     6.29e+04       105524      0.05527
  37   37        69060     6.29e+04       105524       0.1445
  38   38        66171     6.29e+04       105524      0.07676
  39   39        69519     6.29e+04       105524       0.1553
  40   40        71208     6.29e+04       105524       0.1949
  41   41        68165     6.29e+04       105524       0.1235
  43   43        65081     6.29e+04       105524      0.05118
  44   44        72629     6.29e+04       105524       0.2283
  45   45        69366     6.29e+04       105524       0.1517
  46   46        68467     6.29e+04       105524       0.1306
  47   47        66756     6.29e+04       105524      0.09048
  48   48        67387     6.29e+04       105524       0.1053
  49   49        68098     6.29e+04       105524        0.122
  50   50        71299     6.29e+04       105524       0.1971
  51   51        64930     6.29e+04       105524      0.04764
  52   52        68116     6.29e+04       105524       0.1224
  53   53        54505     6.29e+04       105524      -0.1969
  54   54        73969     6.29e+04       105524       0.2597
  55   55        68969     6.29e+04       105524       0.1424
  56   56        68161     6.29e+04       105524       0.1234
  57   57        65892     6.29e+04       105524      0.07021
  58   58        66585     6.29e+04       105524      0.08647
  59   59        67847     6.29e+04       105524       0.1161
  60   60        67174     6.29e+04       105524       0.1003
  61   61        70218     6.29e+04       105524       0.1717
  62   62        68117     6.29e+04       105524       0.1224
  63   63        69074     6.29e+04       105524       0.1449
  64   64        66914     6.29e+04       105524      0.09419
  65   65        68155     6.29e+04       105524       0.1233
  66   66        65452     6.29e+04       105524      0.05989
  67   67        69715     6.29e+04       105524       0.1599
  68   68        68736     6.29e+04       105524       0.1369
  69   69        68714     6.29e+04       105524       0.1364
  70   70        66607     6.29e+04       105524      0.08698
  71   71        70159     6.29e+04       105524       0.1703
  72   72        68477     6.29e+04       105524       0.1309
  73   73        71072     6.29e+04       105524       0.1917
  74   74        65509     6.29e+04       105524      0.06122
  75   75        68493     6.29e+04       105524       0.1312
  76   76        66129     6.29e+04       105524      0.07577
  77   77        69920     6.29e+04       105524       0.1647
  78   78        49128     6.29e+04       105524      -0.3231
  79   79        74585     6.29e+04       105524       0.2742
  80   80        68614     6.29e+04       105524       0.1341
  81   81        66042     6.29e+04       105524      0.07373
  82   82        67685     6.29e+04       105524       0.1123
  83   83        68233     6.29e+04       105524       0.1251
  84   84        68752     6.29e+04       105524       0.1373
  85   85        67938     6.29e+04       105524       0.1182
  86   86        70238     6.29e+04       105524       0.1722
  87   87        72801     6.29e+04       105524       0.2323
  89   89        68008     6.29e+04       105524       0.1199
  92   92        71766     6.29e+04       105524        0.208
  94   94        70292     6.29e+04       105524       0.1734
  95   95        71790     6.29e+04       105524       0.2086
  96   96        63809     6.29e+04       105524      0.02134
  97   97        75955     6.29e+04       105524       0.3063
  98   98        69693     6.29e+04       105524       0.1594
  99   99        52447     6.29e+04       105524      -0.2452
 131  131        44048     6.29e+04       105524      -0.4423
 133  133        67883     6.29e+04       105524       0.1169
 134  134        65879     6.29e+04       105524      0.06991
 135  135        56826     6.29e+04       105524      -0.1425
 136  136        68631     6.29e+04       105524       0.1345
 137  137        68636     6.29e+04       105524       0.1346
 138  138        69718     6.29e+04       105524         0.16
 139  139        67794     6.29e+04       105524       0.1148
 140  140        57540     6.29e+04       105524      -0.1257
 141  141        67108     6.29e+04       105524      0.09874
 142  142        74369     6.29e+04       105524       0.2691
 143  143        67867     6.29e+04       105524       0.1165
 145  145        68298     6.29e+04       105524       0.1267
 146  146        70410     6.29e+04       105524       0.1762
 148  148        66425     6.29e+04       105524      0.08271
 150  150        67550     6.29e+04       105524       0.1091
 152  152        62829     6.29e+04       105524     -0.00165
 153  153        71343     6.29e+04       105524       0.1981
 154  154        70358     6.29e+04       105524        0.175
 155  155        52730     6.29e+04       105524      -0.2386
 156  156        72639     6.29e+04       105524       0.2285
 157  157        72061     6.29e+04       105524       0.2149
 158  158        68145     6.29e+04       105524       0.1231
 160  160        65596     6.29e+04       105524      0.06327
 162  162        68802     6.29e+04       105524       0.1385
 163  163        70796     6.29e+04       105524       0.1853
 164  164        66777     6.29e+04       105524      0.09097
 167  167        67387     6.29e+04       105524       0.1053
 169  169        65868     6.29e+04       105524      0.06965
 171  171        67044     6.29e+04       105524      0.09724
 176  176        55704     6.29e+04       105524      -0.1688
 177  177        67084     6.29e+04       105524      0.09818
 178  178        67816     6.29e+04       105524       0.1153
 179  179        67418     6.29e+04       105524        0.106
 181  181        72314     6.29e+04       105524       0.2209
 182  182        67349     6.29e+04       105524       0.1044
 183  183        72561     6.29e+04       105524       0.2267
 184  184        75505     6.29e+04       105524       0.2957
 186  186        70216     6.29e+04       105524       0.1717
 187  187        69887     6.29e+04       105524       0.1639
 188  188        65500     6.29e+04       105524      0.06101
 189  189        69314     6.29e+04       105524       0.1505
 190  190        68111     6.29e+04       105524       0.1223
 191  191        64724     6.29e+04       105524      0.04281
 192  192        55420     6.29e+04       105524      -0.1755
 193  193        88562     6.29e+04       105524       0.6021
 194  194        70336     6.29e+04       105524       0.1745
 195  195        70581     6.29e+04       105524       0.1802
 196  196        51775     6.29e+04       105524       -0.261
 198  198        70375     6.29e+04       105524       0.1754
 203  203        70883     6.29e+04       105524       0.1873
 204  204        71577     6.29e+04       105524       0.2036
