Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
1	11.587902	-1.5645837	15.528439	1.1317998	-7.804441	12.903637	-10.804569	0.2118838	-10.148046	13.119155
4	19.276487	7.4152102	3.1938283	15.575362	-21.025112	13.886927	-13.767043	-9.195772	8.791735	-8.748037
5	-11.248685	23.757057	1.4427122	-1.9706144	2.8982537	3.4635434	-4.2171645	-1.7851903	-3.0711322	4.1959696
6	-24.382172	-15.034214	-13.430925	-8.695933	-9.884979	-2.1466086	-2.5077555	-1.5758723	9.657086	-3.0778444
7	11.763715	6.1513166	-4.757763	3.1551726	-2.4902966	5.812217	-13.663986	8.583902	-0.13051198	6.614234
8	-1.1880759	15.092073	4.05486	-8.297537	-1.044235	-0.62754714	3.5681646	2.340521	-7.8519564	10.164174
10	3.0744364	6.2422366	15.34318	1.2450325	-6.409588	-6.2936363	-3.4502728	-7.7140965	5.442269	1.0339694
11	-21.027435	19.111483	-2.2236505	-7.920081	4.435426	-5.9166403	-1.7036333	3.079173	7.6311874	3.6983995
12	-3.557596	29.870373	14.839466	4.402217	-1.4264151	14.589181	-3.1345472	-13.026327	3.9341652	-1.2409865
13	21.694054	12.320778	-8.166513	-0.05161298	-9.557366	0.09429534	-8.959245	-5.1206713	1.3311826	1.25524
14	9.899883	1.0847834	11.792262	-0.30693796	-10.139282	14.317718	-9.216501	5.3962646	-6.152357	5.124438
15	17.019878	6.6933527	5.051489	9.843138	-10.504918	-3.7223463	0.9642525	-4.7999425	0.35287455	-6.4140687
16	16.729752	1.8111748	12.3428135	-13.2475815	0.5169742	-7.628336	-3.4032817	-5.663245	5.5435762	6.1714644
18	22.161203	-2.0628288	5.8971963	-14.431711	-5.5731673	9.875252	-5.8899937	-2.3701208	2.2381816	-2.6827579
19	19.460773	2.963473	7.1276736	-16.638508	-8.77127	10.957231	-7.6048884	-3.5765655	-4.4978685	0.7598225
20	-3.5178292	9.661359	8.758106	-9.0918	-10.668982	5.5624747	0.34432906	-3.2513597	-4.170059	1.4790623
22	22.558908	11.120364	2.8388932	-20.338175	-3.0810184	7.2614274	-3.4341133	-8.5526495	-1.3377025	6.439849
23	23.453264	3.196744	2.8499253	-22.967083	1.0937535	-2.415184	3.1270537	-6.7430973	-0.71190995	-0.23945242
24	9.450405	13.104193	0.51997626	12.279963	-10.899941	-2.455957	-6.7169237	2.0266101	5.0802298	4.320987
26	13.859186	5.1948314	9.415435	-10.735899	-16.445179	18.41027	-9.80762	-15.033802	2.7093966	-5.993022
27	12.910479	2.261837	4.130026	-23.322872	-1.7557927	-1.2831638	4.295668	-1.5647601	-1.0266294	-0.91325337
28	-6.570266	32.33208	10.911733	3.0197473	7.070972	10.852107	-8.385111	-10.716085	0.9523701	-0.05482187
29	-0.3027184	13.61672	3.3627782	12.309052	-13.3121	-4.836882	2.171359	2.55598	8.327531	9.839476
30	-14.1131935	24.243353	11.341936	-1.332223	-7.6419044	4.507987	-7.601372	-6.2737203	-2.5923321	-3.720578
31	-9.853789	25.778486	14.156563	-2.3003128	3.8801131	2.4754653	2.8935635	-5.1710157	5.0569367	0.9370917
32	26.00436	-4.2364554	-11.917722	-21.658392	7.6204658	1.411127	-11.521949	-1.6734556	-0.44518197	-4.1463237
33	-3.9788973	6.6939473	-6.547791	-25.74236	-11.520681	3.8082616	14.984346	10.040916	1.8545353	-0.86343724
34	9.565498	10.68373	7.6183996	-1.4358077	-7.9896493	1.6146458	-3.4276497	-6.344056	10.571167	-2.4426057
35	39.40844	8.032176	-21.318802	-4.8086023	-5.819278	-17.692057	5.295482	-1.9860057	1.7376822	-1.6039393
36	2.125224	23.599539	3.3212698	-3.7700222	15.003247	1.2923301	-10.525737	-0.3312079	-11.047612	-9.117883
37	-3.9759185	-0.962471	-5.9364285	-18.390303	-13.97148	8.2633705	10.736205	6.9785748	-10.8832	-3.1547594
38	0.9360501	25.547926	-0.015436502	10.145626	-1.134375	-3.094037	-6.607896	1.6000881	-0.56358504	0.07622416
39	-1.5344898	-8.1936245	0.82305956	-5.022784	-1.8788792	7.570021	-5.1596494	25.261374	6.4666934	17.378044
40	14.569691	-0.21269345	-1.3435603	22.948532	-10.30406	-15.254184	1.1761179	5.8391695	-6.495917	-4.7750273
41	30.595934	2.3689754	8.550736	-23.58497	-12.4079	15.351952	-11.816857	-12.556013	6.4545913	1.5368575
43	25.878975	-6.0394416	13.217069	-23.54662	9.432066	-16.989452	-2.7916303	-1.2165496	-1.0974214	1.6807595
44	-10.110974	24.096241	8.486676	-1.5623682	4.4056406	3.1694257	-13.227249	-7.365644	1.9424195	-7.8014402
45	29.246878	6.605582	3.3353963	17.908249	-23.927769	8.19918	-6.337809	-8.012369	5.716658	0.32756484
46	4.4126463	18.066326	12.807536	-3.1257057	-1.6269222	6.1682696	-8.226904	-1.3977872	4.0541496	5.746766
47	0.1965674	0.007893362	1.5853308	-11.110602	-1.7833296	-0.94313467	1.9878025	-1.9548346	1.3704451	3.0517638
48	31.585176	10.595528	-20.403875	40.462643	-22.940638	-21.970774	8.3421545	1.4235557	8.277483	-0.8617338
49	18.689512	-2.2138255	7.9110413	-6.0256376	-5.336102	-4.3908205	-0.82516927	3.8419964	11.019637	9.387054
50	36.69379	5.8569613	-10.989772	-5.666044	-5.157884	-18.879799	4.252176	0.47404018	2.4461918	6.6771064
51	23.920858	-2.4338272	-8.307291	-18.076126	4.7677608	0.52039057	1.4938406	-5.245335	9.050784	-1.9549612
52	41.757748	12.158416	-21.253103	1.1874081	-8.947488	-12.352339	3.3828928	-9.501252	4.609372	1.1252472
53	21.48035	14.150863	-2.1899378	-5.8370028	0.9845728	-5.282874	4.407014	-2.4043603	3.2494128	0.77633077
54	41.05808	6.8420973	-14.014079	-9.450077	-2.0955136	-15.107302	3.4187603	0.20658976	5.051869	2.482938
55	3.0355995	35.434017	-1.5072708	12.692216	7.2908115	-3.4031484	-5.357692	-5.9206877	-0.5922248	-6.40094
56	-14.502784	7.6042705	-7.201899	-12.325514	-23.973892	6.3635464	7.03542	0.74519247	5.0597444	3.0868382
57	-19.231226	49.43368	11.887025	4.467802	24.26687	-0.7104686	-3.9913576	-5.27634	5.22071	-7.029276
58	18.490578	3.2022963	-13.74204	-23.151491	5.4029408	-3.9383194	0.7141373	-1.8985441	0.53279465	-3.6087832
59	11.805211	23.589664	-12.413708	14.252002	-7.9929905	-12.549493	-2.1425924	-2.767298	-0.28397146	4.5326557
60	21.785791	-3.6099455	1.3827462	-24.611454	1.9715905	-14.526413	-8.064098	-1.980816	3.534305	-2.3455284
61	32.933212	-1.1478906	-1.1125791	-19.512358	-2.2029688	7.317842	-4.793222	-4.0074086	2.951155	-6.13718
62	-8.987338	9.242678	11.188445	-6.8769894	-8.355567	8.67478	2.097468	-1.3574106	-9.71027	0.85644424
63	-11.056775	-13.541498	7.1739297	-3.068982	3.1795309	-11.978173	-2.8670723	-0.10012926	13.464439	1.0631487
64	-7.833236	-6.053837	7.001396	-2.6419106	-11.260462	5.2231455	-5.322098	-8.116921	11.611666	-5.9684234
65	20.208826	6.288956	6.3890877	23.380468	-27.997395	8.723645	-2.834509	-5.956585	6.0431876	1.7282472
66	17.004385	9.86749	5.756584	-14.3586855	0.8802859	-1.4880613	-1.8497653	-10.573449	1.2762381	4.1850743
67	25.701796	-8.174337	2.611407	-26.454876	2.863907	-8.387778	-2.5910997	-1.6181985	6.8676434	-5.035599
68	-3.937546	-6.4763007	21.825756	-7.3199983	-13.263181	-6.319474	1.3204185	-2.5533392	-6.946314	-2.438898
69	-0.38991627	-4.782731	21.673227	-3.2933567	-5.147162	-0.61679983	11.240444	-1.3606486	-8.347949	7.461929
70	-19.037712	49.223717	11.557958	4.3510695	24.301893	-0.8829809	-3.8751135	-5.32669	5.136119	-7.237012
71	-13.876407	20.02112	-1.9237298	-3.636387	-3.556287	10.081128	-1.4627051	1.5151792	-6.030948	-8.884233
72	32.66952	2.0930223	4.8976836	-24.323582	-3.1664402	9.081732	-4.861821	-7.684539	2.2133267	-1.775222
73	-5.0395317	25.22679	15.362558	8.370016	4.2237797	12.184435	-8.960697	-9.017337	-8.703023	-3.113345
74	36.016315	4.0187798	-12.962758	-27.97405	8.5268545	-2.2132924	-6.4350967	-0.86556184	-10.894101	-2.411393
75	-3.7321374	-2.7421932	16.383955	-3.223251	-16.805464	-3.0520976	-3.1403275	-3.1074517	-3.5292978	-6.685133
76	29.876984	10.303048	-19.281416	39.4777	-21.64252	-21.339453	8.140942	2.9226544	6.769606	-0.38491416
77	-13.672759	24.907436	7.460946	-4.177144	-3.9887516	0.6672415	-4.675894	-2.2278013	18.754122	0.34858596
78	1.4196948	19.316267	-5.545117	11.857647	-5.525568	-4.35477	2.6219082	-0.15063433	-0.4176153	2.0441394
79	-13.312228	42.6661	14.887539	1.2405202	12.101176	-4.457146	7.761402	2.1982358	0.11405261	-6.523431
80	-7.2268343	15.87707	1.655014	-0.9356349	-5.000976	1.0472027	-3.510361	-6.1097326	12.817198	-2.6313853
81	7.1961102	14.637051	-7.63261	-12.396636	6.681259	-1.8665894	-3.5924547	-7.1658983	-0.31424922	2.2344809
82	-4.6922174	3.4001026	11.020425	2.1305342	0.32484683	-21.721697	-0.08744113	3.493543	-1.140834	-2.7443817
83	13.426688	1.1463888	6.310706	-8.548572	0.8497295	-9.627894	-3.470652	4.287747	-5.37477	-1.8413714
84	-17.730007	31.2473	0.87390107	-5.383358	10.918934	-2.716327	-5.275872	-4.0697474	9.1090555	2.1347802
85	-0.6047057	13.897199	3.4230027	12.611126	-13.641786	-4.9382896	2.1245766	2.4800115	8.369826	9.961846
86	-9.516558	23.48516	9.882949	-2.6825595	-2.418708	3.8017797	2.0155122	-0.8648761	8.522268	-0.21308763
87	-19.692907	38.37647	8.576497	-5.4040017	7.201404	-3.9283981	11.464191	3.329658	-5.9026437	-12.106281
89	26.566324	3.3387632	0.47907147	-0.75524586	-7.8130794	-14.253075	-3.8041375	-8.931562	4.679301	-1.9744351
92	-15.816776	3.7054553	1.8681531	-6.995838	-14.537009	-1.0896928	8.062304	3.7136052	-5.6380286	0.9990975
94	-20.261738	36.812626	6.8363085	-4.1506515	7.265176	-0.92368114	9.046809	10.031045	-7.8885837	-13.15916
95	-7.106226	14.611741	5.469483	0.77382857	-3.1084661	4.4039903	-14.309527	2.1164734	6.002387	5.6659126
96	6.248853	-16.38171	6.8200393	8.726885	15.612253	4.45613	1.67889	14.071597	4.406339	-16.532024
97	37.686012	4.543731	-14.491848	-22.145203	9.666049	-2.510498	-1.2135326	-1.0360146	-5.22856	-4.464498
98	19.374153	9.286758	-5.0569205	17.973797	-8.684482	-7.3860583	-1.412548	0.7602414	1.1723549	-0.32237008
99	14.452039	-11.748578	10.2894125	9.229098	7.1465554	9.562545	-1.4961858	17.623358	2.0514925	-13.119753
131	1.9730632	-3.2937598	3.6994247	4.7134194	6.795537	6.6173973	-1.8483541	6.0116267	-3.1913385	-7.369908
133	-7.50533	-5.9776006	6.564084	-0.0027594	2.1489544	-0.58140314	3.021545	-9.494867	-5.02497	5.2842093
134	-11.3986025	26.600147	0.18922542	2.706059	9.890769	-4.179486	-3.3048334	-7.6776443	-11.569967	-4.868227
135	14.584551	2.0768225	-9.01618	15.566233	-8.717872	-5.9160733	9.95145	-3.668197	-0.011635247	-3.1032133
136	10.318976	-6.9327097	-0.782734	8.401098	7.9818006	13.955492	-20.496325	45.732674	7.867435	26.070833
137	3.1336496	-2.0540664	-3.0117147	-5.005684	-14.805709	21.451263	-6.765477	27.038725	2.0078678	14.970421
138	-23.247824	-2.933169	-9.47087	-6.1773295	-8.027693	-9.061209	-0.50288546	7.538313	5.5606365	9.365449
139	4.630838	20.585157	-0.3159723	18.63653	-10.784041	5.366702	-5.993014	-3.1390102	-0.8434745	1.8458517
140	5.110551	-2.868919	-4.3269196	0.006353866	7.030898	4.6968365	3.2504761	2.1559737	-2.4185212	-1.4472433
141	-17.902864	-8.63874	-15.967972	-9.944725	-10.888934	-4.427762	-3.4808521	-5.5821314	8.662874	-1.1757933
142	-20.043982	4.096471	-12.409046	6.559729	6.3874984	-7.3711224	-32.508713	-4.4551935	-14.979226	-0.17457077
143	-1.2996635	-20.856138	25.793316	-6.755008	-1.1435807	-18.219603	0.023402877	4.29716	10.036281	-7.5214252
145	30.17163	9.060715	-20.329536	41.50541	-22.748535	-21.697838	8.793489	3.346219	5.6763716	2.2721026
146	2.7590566	-23.900291	49.053352	-7.04559	-1.18306	-33.197464	1.5392103	1.3106462	1.7704779	5.516093
148	-19.393984	48.706276	11.748067	4.474909	24.108204	-0.6695706	-3.795644	-5.0244308	5.11943	-6.9778323
150	-4.0040545	-16.00391	26.563782	-1.6231184	4.1936197	-18.17025	0.7136336	-5.551861	11.776357	9.075871
152	-19.183636	47.257446	11.138578	4.7672415	23.14446	-1.0780947	-3.8913872	-4.0754714	4.047866	-6.767231
153	-2.7581131	-17.197412	-5.0948563	6.112698	12.003638	11.369927	9.572146	-7.39497	-4.716799	7.133031
154	-3.2003882	-16.341686	23.1735	-4.305211	-4.4454074	-24.511276	-5.9182873	2.3583367	3.2745142	-1.7223825
155	3.9660504	-4.4552164	14.385935	3.2269428	-8.434473	10.083295	-6.9854736	-1.1887681	0.758513	-4.8850493
156	1.8916405	-24.764282	48.199776	-6.3307967	-1.7038127	-32.93112	2.001358	3.0840278	-0.6535386	8.574548
157	-25.656523	-15.905485	-17.328508	-8.746767	-15.524993	-8.485768	-3.6322994	1.9448503	10.8795395	-3.6578453
158	-20.64304	-0.79971725	-0.67839366	-14.750173	-21.825907	-4.9786015	14.4155445	10.6703205	-12.072566	1.2836379
160	22.136993	9.140693	-2.1282873	23.995407	-5.4687877	-2.4464505	2.4207253	0.5133649	3.5716972	-2.4007568
162	-11.735343	-11.273861	-9.152186	4.714934	-2.2849913	-1.673705	-6.818866	-3.8859918	-0.39618215	0.9333811
163	-3.173617	-16.25684	-4.213513	3.553954	8.826736	6.2500286	5.316136	-4.869723	12.550649	-1.5024477
164	31.25521	10.135505	-20.082123	40.749672	-22.881197	-21.481897	8.301233	1.996581	7.978188	-0.86385995
167	8.436304	-6.6264777	-2.6361704	2.281632	10.459084	1.6458099	7.3513937	4.791854	-10.464168	-3.196817
169	1.3049597	5.860876	-2.1786327	-19.772308	-3.2988768	-1.8193139	4.714509	6.377316	-9.356563	1.3069474
171	4.210774	33.57617	-1.2159187	28.60853	3.3045933	-8.829362	1.2945963	1.5341202	9.324211	-4.131486
176	36.234505	2.885926	-1.8877366	-25.952362	-3.1654916	8.619654	-8.188491	-6.9994173	3.6041222	-2.5631263
177	20.72364	1.3638859	-3.761883	-17.191023	-2.7734842	-2.6175802	1.0575968	-3.5786293	-9.697716	-1.1946672
178	-1.9435402	-0.66212463	-8.378505	7.79937	11.299313	7.4336443	-0.50781727	-5.821124	-0.8549325	-0.76377755
179	-21.958511	-11.218851	-14.281036	-4.6828556	-9.0991535	-6.2611895	-1.0068561	-0.13531081	10.266006	-12.870953
181	-23.222042	19.511797	1.1194228	-4.281722	-2.2816725	-7.3212056	4.5713825	3.4173086	12.815269	8.8657055
182	35.986122	3.5142264	-9.82843	-8.228367	-1.521574	0.21708363	0.04309489	-4.280853	-3.860544	-0.11105238
183	7.242914	0.24942473	26.774267	0.8364481	-17.025482	20.997658	-1.4171244	-9.700792	-14.782929	7.5363164
184	-14.387303	-8.70615	-15.883817	8.464299	3.978231	-8.752482	-28.166563	-8.026151	-20.605703	-0.75241417
186	10.20089	-10.312179	0.91858965	-4.578322	2.0757568	1.0001338	1.2993969	5.889138	-6.1828284	-5.417869
187	-6.8227243	-19.152594	23.536346	-6.8079605	-1.0404859	-21.893341	0.23192526	2.8292599	-3.144237	0.5644639
188	-6.259817	32.884808	24.73845	1.1720035	-7.16459	12.5209675	-12.239386	-14.260401	14.477306	0.09616786
189	-0.088840015	-7.57436	-2.9019828	3.5489013	6.582708	4.8463197	10.134768	-2.3943212	-0.117284976	2.0145195
190	4.166365	0.84376144	-17.316105	26.259823	-12.744367	-16.410982	-10.263092	-5.56432	-2.601602	1.7863941
191	-5.420352	7.058423	13.238897	-3.5341887	-5.3699026	5.4283037	-4.2024913	-4.851284	-2.1104314	0.29531538
192	-11.010791	-10.539038	-13.812818	-1.2901187	2.67497	0.6982226	-2.5521686	1.1481527	0.4365911	-3.0762813
193	-22.858395	-7.9495373	-19.300358	8.180147	2.9744446	-13.305951	-43.499767	-10.983491	-19.943167	5.163331
194	6.185749	-4.006108	-2.6784742	7.9750857	5.204036	-2.8692572	-3.679488	3.7937443	-8.019404	-3.237682
195	-18.562141	-15.445172	-11.133371	0.50928015	-5.6106567	-2.4316223	-7.655899	-5.391961	0.11051931	-7.6790805
196	-6.833339	-9.110347	-0.004873942	1.5193062	10.575249	8.059461	9.410413	-3.6781857	0.90248364	-2.8923156
198	11.757986	-2.3380377	-1.0819873	-7.0114713	10.83786	2.0854301	9.47565	9.961282	-6.779354	-3.8218522
203	28.090782	-1.7144787	-5.685836	-17.464773	14.73694	8.008089	-2.7102644	7.617623	2.433066	-9.921592
204	-0.41804707	-7.13466	-3.8940678	12.666543	-5.3022976	-8.952395	-10.567296	-9.51603	-7.7365713	5.013597
205	37.35772	-1.037784	-0.016479403	-16.208138	2.0438318	-20.543192	3.2741482	-4.3833046	-3.2700784	6.6237535
206	4.9027987	0.1164409	14.259219	7.32198	-2.9077237	11.149433	-2.628445	4.2004313	1.9715283	2.0185838
207	-0.94732934	-11.793027	0.99350655	9.024373	11.013419	7.888551	6.66105	-11.612369	5.053271	2.9245882
208	-0.79525995	-19.10628	22.9836	-0.49708554	7.1998925	-19.599152	-7.2872095	8.047029	-0.49028435	-4.3144984
209	14.869997	-0.81400096	30.140982	0.5873476	-31.596395	33.21933	-15.071054	-14.992359	5.0067973	-1.5014396
212	15.934381	0.2618002	-18.114641	-18.44654	6.018903	-9.468747	-18.144968	-6.9635487	-4.387618	-0.40845102
213	9.870525	-4.8555646	2.2925024	5.1299953	12.447603	9.992311	4.961691	14.401913	-4.1804543	-19.235128
214	23.355755	-11.06826	0.566927	-21.314377	5.849638	-3.2728858	-1.5113772	3.2422774	8.442978	-6.1661296
216	-8.594602	-8.631783	-6.342552	5.246757	9.511414	5.699771	3.8664124	-7.153444	3.0375652	-2.792467
