PC	eigenvalue	proportion of total	cumulative proportion
0	238.86906	0.04194	0.04194
1	170.68865	0.02997	0.07192
2	129.08621	0.02267	0.09458
3	106.63902	0.01873	0.11331
4	101.36383	0.0178	0.13111
5	86.24965	0.01515	0.14625
6	74.992	0.01317	0.15942
7	63.69238	0.01118	0.17061
8	56.07886	0.00985	0.18045
9	49.85918	0.00876	0.18921
10	44.5641	0.00783	0.19704
11	43.24747	0.00759	0.20463
12	42.18919	0.00741	0.21204
13	41.09082	0.00722	0.21925
14	39.73626	0.00698	0.22623
15	38.5637	0.00677	0.233
16	36.13913	0.00635	0.23935
17	35.91079	0.00631	0.24565
18	33.46233	0.00588	0.25153
19	33.22125	0.00583	0.25736
20	32.34465	0.00568	0.26304
21	31.41719	0.00552	0.26856
22	29.99359	0.00527	0.27383
23	29.4471	0.00517	0.279
24	28.49072	0.005	0.284
25	27.42841	0.00482	0.28882
26	27.03598	0.00475	0.29356
27	26.02392	0.00457	0.29813
28	25.74031	0.00452	0.30265
29	25.01452	0.00439	0.30705
30	24.62925	0.00432	0.31137
31	23.99031	0.00421	0.31558
32	23.56856	0.00414	0.31972
33	23.16223	0.00407	0.32379
34	22.67779	0.00398	0.32777
35	22.29967	0.00392	0.33169
36	21.85772	0.00384	0.33553
37	21.50165	0.00378	0.3393
38	20.83043	0.00366	0.34296
39	20.69058	0.00363	0.34659
40	20.54108	0.00361	0.3502
41	20.09798	0.00353	0.35373
42	19.84288	0.00348	0.35721
43	19.6392	0.00345	0.36066
44	19.14122	0.00336	0.36402
45	18.99044	0.00333	0.36736
46	18.42387	0.00324	0.37059
47	18.3566	0.00322	0.37382
48	18.33235	0.00322	0.37704
49	18.13599	0.00318	0.38022
50	17.87738	0.00314	0.38336
51	17.64778	0.0031	0.38646
52	17.32627	0.00304	0.3895
53	17.13034	0.00301	0.39251
54	16.99985	0.00299	0.39549
55	16.49202	0.0029	0.39839
56	16.45647	0.00289	0.40128
57	16.12827	0.00283	0.40411
58	15.99913	0.00281	0.40692
59	15.8791	0.00279	0.40971
60	15.7709	0.00277	0.41248
61	15.52142	0.00273	0.4152
62	15.2865	0.00268	0.41789
63	15.15646	0.00266	0.42055
64	15.07063	0.00265	0.4232
65	14.90486	0.00262	0.42581
66	14.81392	0.0026	0.42841
67	14.68523	0.00258	0.43099
68	14.55486	0.00256	0.43355
69	14.45411	0.00254	0.43609
70	14.37692	0.00252	0.43861
71	14.22342	0.0025	0.44111
72	14.00179	0.00246	0.44357
73	13.9024	0.00244	0.44601
74	13.77492	0.00242	0.44843
75	13.63848	0.00239	0.45082
76	13.45147	0.00236	0.45319
77	13.43432	0.00236	0.45554
78	13.29126	0.00233	0.45788
79	13.14956	0.00231	0.46019
80	12.91971	0.00227	0.46246
81	12.79181	0.00225	0.4647
82	12.67378	0.00223	0.46693
83	12.58449	0.00221	0.46914
84	12.52056	0.0022	0.47134
85	12.36328	0.00217	0.47351
86	12.29744	0.00216	0.47567
87	12.2693	0.00215	0.47782
88	12.07593	0.00212	0.47994
89	12.03258	0.00211	0.48205
90	11.90127	0.00209	0.48414
91	11.85735	0.00208	0.48623
92	11.75717	0.00206	0.48829
93	11.67483	0.00205	0.49034
94	11.50319	0.00202	0.49236
95	11.40757	0.002	0.49436
96	11.36762	0.002	0.49636
97	11.23301	0.00197	0.49833
98	11.18698	0.00196	0.5003
99	11.13011	0.00195	0.50225
100	11.01829	0.00193	0.50419
101	10.8473	0.0019	0.50609
102	10.81158	0.0019	0.50799
103	10.66099	0.00187	0.50986
104	10.59292	0.00186	0.51172
105	10.48654	0.00184	0.51356
106	10.46612	0.00184	0.5154
107	10.38695	0.00182	0.51722
108	10.31017	0.00181	0.51904
109	10.28061	0.00181	0.52084
110	10.19198	0.00179	0.52263
111	10.09464	0.00177	0.5244
112	10.04855	0.00176	0.52617
113	10.00919	0.00176	0.52792
114	9.91688	0.00174	0.52967
115	9.86078	0.00173	0.5314
116	9.80066	0.00172	0.53312
117	9.73103	0.00171	0.53483
118	9.65201	0.00169	0.53652
119	9.53181	0.00167	0.5382
120	9.47228	0.00166	0.53986
121	9.40994	0.00165	0.54151
122	9.30609	0.00163	0.54315
123	9.22755	0.00162	0.54477
124	9.19584	0.00161	0.54638
