FullSampleName,cultivar,ACCID,country,ploidy,species,use,snp_calling_keep,species_keep,heterozygosity_keep,ibd_species_keep,faststructure_keep,pca_keep,domestica_keep,domestica_clones_keep,top_eight,colour_pheno,firm_pheno,size_pheno,ACP,ACNO
MalGBS_P1_A01_6090,Arkansas,6090,United States,3x,domestica,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,588952
MalGBS_P1_B01_7977,Field_Spy,7977,United States,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589055
MalGBS_P1_C01_1955,Crimson_Brilliant,1955,NA,2x,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,588767
MalGBS_P1_D01_134669,Oporto,134669,NA,2x,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,136020
MalGBS_P1_E01_10712,DE_229,10712,NA,2x,prunifolia,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589164
MalGBS_P1_F01_600288,NA,600288,NA,4x,x asiatica,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613921
MalGBS_P1_H01_600257,NA,600257,NA,2x,fusca,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613861
MalGBS_P1_A02_9942,Rose_Red_Delicious,9942,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,1,red,firm,large,PI,589137
MalGBS_P1_B02_11943,Fruitland_Delicious_2-4-4-4,11943,NA,2x/4x,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,589208
MalGBS_P1_C02_18502,South_Dakota_Bison,18502,NA,2x,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589620
MalGBS_P1_D02_17703,Garry,17703,NA,2x,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589510
MalGBS_P1_E02_531521,KAZ_96_03-07,531521,Kazakhstan,2x,sieversii,NA,1,1,1,1,0,0,0,0,0,NA,NA,NA,PI,613953
MalGBS_P1_F02_600240,No._2,600240,NA,2x,fusca,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613823
MalGBS_P1_G02_23435,NA,23435,NA,2x,floribunda,NA,1,1,1,1,0,0,0,0,0,NA,NA,NA,PI,590035
MalGBS_P1_H02_562967,Kandil_Sinap,562967,Ukraine,NA,domestica,NA,1,1,1,1,0,0,1,1,0,NA,NA,NA,PI,613948
MalGBS_P1_A03_600274,NA,600274,United States,4x,coronaria,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613890
MalGBS_P1_B03_139519,Bouteille_de_Liseux,139519,NA,NA,domestica,Cider,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,161758
MalGBS_P1_C03_600319,NA,600319,United States,2x,fusca,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613901
MalGBS_P1_D03_600266,NA,600266,United States,2x,angustifolia,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613880
MalGBS_P1_E03_18805,Taylor's,18805,NA,2x,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,589663
MalGBS_P1_F03_24436,NA,24436,NA,2x,halliana,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,590090
MalGBS_P1_G03_18592,Mercer,18592,NA,3x,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589634
MalGBS_P1_H03_128379,Repinaldo_do_Liebana,128379,Spain,2x,domestica,NA,1,1,1,1,1,1,1,1,0,green,firm,small,PI,105528
MalGBS_P1_A04_11881,Johnson_McIntosh_2-4-4-4,11881,NA,2x/4x,domestica,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,PI,589206
MalGBS_P1_B04_8297,Green_Peak_McIntosh_2-2-4-4,8297,NA,2x/4x,domestica,NA,1,1,1,0,0,0,1,1,0,NA,NA,NA,PI,589069
MalGBS_P1_C04_294443,Finson's_Orange,294443,Australia,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,large,PI,392307
MalGBS_P1_D04_8244,Earlibrite_Delicious,8244,NA,NA,domestica,NA,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,589068
MalGBS_P1_E04_11165,Hall_Keeper,11165,United States,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,large,PI,589187
MalGBS_P1_F04_6460,Black_Gilliflower,6460,United States,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,firm,small,PI,588973
MalGBS_P1_G04_140216,Mottais,140216,France,2x,domestica,NA,1,1,1,1,1,1,1,1,0,red,soft,large,PI,162735
MalGBS_P1_H04_9860,Boiken,9860,Germany,NA,domestica,Other,1,1,1,1,1,1,1,1,0,green,firm,large,PI,589134
MalGBS_P1_A05_24944,Golden_Delicious,24944,United States,NA,domestica,Other,1,1,1,1,1,1,1,1,1,NA,NA,NA,PI,590184
MalGBS_P1_B05_7098,Sweet_McIntosh,7098,NA,NA,domestica,Other,1,1,1,1,1,1,1,1,0,red,soft,large,PI,589020
MalGBS_P1_C05_133883,Renown,133883,United Kingdom,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,131081
MalGBS_P1_D05_600334,NA,600334,NA,2x,prunifolia,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613926
MalGBS_P1_E05_8456,Geneva,8456,NA,NA,domestica,NA,1,1,1,1,0,0,1,1,0,NA,NA,NA,PI,589079
MalGBS_P1_F05_12216,F-2,12216,NA,2x,fusca,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,589220
MalGBS_P1_G05_11987,Redfield,11987,NA,2x,domestica,NA,1,1,1,1,0,0,1,1,0,NA,NA,NA,PI,589211
MalGBS_P1_H05_24681,Golden_Pippin,24681,NA,2x,domestica,Other,1,1,1,1,1,1,1,1,0,green,soft,large,PI,590129
MalGBS_P1_A06_25011,Co-op_14,25011,NA,2x,hybrid,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,590199
MalGBS_P1_B06_14716,Alpha_68A,14716,NA,4x,domestica,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,589327
MalGBS_P1_C06_24944,Golden_Delicious,24944,United States,NA,domestica,Other,1,1,1,0,0,0,1,0,0,NA,NA,NA,PI,590184
MalGBS_P1_D06_251447,B-87,251447,NA,2x,prunifolia,NA,1,0,0,0,0,0,0,0,0,NA,NA,NA,PI,337434
MalGBS_P1_E06_24691,Isle_of_Wight_Pippin,24691,France,2x,domestica,Other,1,1,1,1,1,1,1,1,0,NA,NA,NA,PI,590131
MalGBS_P1_F06_134608,Tchistaikovka_No._3,134608,NA,NA,domestica,NA,1,1,1,1,1,1,1,1,0,NA,soft,small,PI,135499
MalGBS_P1_G06_11356,Dermen_Paragon_3-6-6,11356,NA,NA,domestica,NA,1,1,0,0,0,0,0,0,0,NA,NA,NA,PI,589193
MalGBS_P1_H06_600314,NA,600314,United States,2x,fusca,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,PI,613895
MalGBS_P1_A07_134074,Rambourg_d'Automme,134074,France,NA,domestica,NA,1,1,1,1,1,1,1,1,0,red,firm,large,PI,132276
